Mes,Producto,Ventas
Enero,Flouness Basic,122
Enero,Flouness Team,455
Enero,Flouness Business,290
Enero,Flouness Enterprise,126
Enero,Flouness Onboarding Pack,91
Enero,Flouness Data Insights,720
Enero,Flouness Storage Pro,40
Enero,Flouness Branding White Label,634
Enero,Flouness Integrations Hub,141
Enero,Consultoría Flujo Perfecto,486
Febrero,Flouness Basic,234
Febrero,Flouness Team,350
Febrero,Flouness Business,478
Febrero,Flouness Enterprise,107
Febrero,Flouness Onboarding Pack,392
Febrero,Flouness Data Insights,119
Febrero,Flouness Storage Pro,683
Febrero,Flouness Branding White Label,150
Febrero,Flouness Integrations Hub,681
Febrero,Consultoría Flujo Perfecto,328
Marzo,Flouness Basic,789
Marzo,Flouness Team,363
Marzo,Flouness Business,511
Marzo,Flouness Enterprise,433
Marzo,Flouness Onboarding Pack,405
Marzo,Flouness Data Insights,211
Marzo,Flouness Storage Pro,296
Marzo,Flouness Branding White Label,180
Marzo,Flouness Integrations Hub,479
Marzo,Consultoría Flujo Perfecto,333
Abril,Flouness Basic,41
Abril,Flouness Team,272
Abril,Flouness Business,767
Abril,Flouness Enterprise,580
Abril,Flouness Onboarding Pack,494
Abril,Flouness Data Insights,78
Abril,Flouness Storage Pro,530
Abril,Flouness Branding White Label,701
Abril,Flouness Integrations Hub,495
Abril,Consultoría Flujo Perfecto,719
Mayo,Flouness Basic,209
Mayo,Flouness Team,706
Mayo,Flouness Business,582
Mayo,Flouness Enterprise,586
Mayo,Flouness Onboarding Pack,263
Mayo,Flouness Data Insights,524
Mayo,Flouness Storage Pro,150
Mayo,Flouness Branding White Label,504
Mayo,Flouness Integrations Hub,666
Mayo,Consultoría Flujo Perfecto,40
Junio,Flouness Basic,186
Junio,Flouness Team,293
Junio,Flouness Business,407
Junio,Flouness Enterprise,620
Junio,Flouness Onboarding Pack,335
Junio,Flouness Data Insights,33
Junio,Flouness Storage Pro,261
Junio,Flouness Branding White Label,796
Junio,Flouness Integrations Hub,365
Junio,Consultoría Flujo Perfecto,584
Julio,Flouness Basic,359
Julio,Flouness Team,111
Julio,Flouness Business,386
Julio,Flouness Enterprise,474
Julio,Flouness Onboarding Pack,447
Julio,Flouness Data Insights,528
Julio,Flouness Storage Pro,795
Julio,Flouness Branding White Label,54
Julio,Flouness Integrations Hub,225
Julio,Consultoría Flujo Perfecto,100
Agosto,Flouness Basic,581
Agosto,Flouness Team,407
Agosto,Flouness Business,21
Agosto,Flouness Enterprise,409
Agosto,Flouness Onboarding Pack,585
Agosto,Flouness Data Insights,125
Agosto,Flouness Storage Pro,791
Agosto,Flouness Branding White Label,496
Agosto,Flouness Integrations Hub,722
Agosto,Consultoría Flujo Perfecto,421
Septiembre,Flouness Basic,749
Septiembre,Flouness Team,575
Septiembre,Flouness Business,181
Septiembre,Flouness Enterprise,221
Septiembre,Flouness Onboarding Pack,289
Septiembre,Flouness Data Insights,290
Septiembre,Flouness Storage Pro,475
Septiembre,Flouness Branding White Label,481
Septiembre,Flouness Integrations Hub,746
Septiembre,Consultoría Flujo Perfecto,271
Octubre,Flouness Basic,721
Octubre,Flouness Team,315
Octubre,Flouness Business,744
Octubre,Flouness Enterprise,739
Octubre,Flouness Onboarding Pack,768
Octubre,Flouness Data Insights,357
Octubre,Flouness Storage Pro,72
Octubre,Flouness Branding White Label,236
Octubre,Flouness Integrations Hub,783
Octubre,Consultoría Flujo Perfecto,207
Noviembre,Flouness Basic,399
Noviembre,Flouness Team,512
Noviembre,Flouness Business,60
Noviembre,Flouness Enterprise,176
Noviembre,Flouness Onboarding Pack,34
Noviembre,Flouness Data Insights,84
Noviembre,Flouness Storage Pro,540
Noviembre,Flouness Branding White Label,363
Noviembre,Flouness Integrations Hub,148
Noviembre,Consultoría Flujo Perfecto,667
Diciembre,Flouness Basic,491
Diciembre,Flouness Team,82
Diciembre,Flouness Business,158
Diciembre,Flouness Enterprise,518
Diciembre,Flouness Onboarding Pack,612
Diciembre,Flouness Data Insights,411
Diciembre,Flouness Storage Pro,694
Diciembre,Flouness Branding White Label,438
Diciembre,Flouness Integrations Hub,308
Diciembre,Consultoría Flujo Perfecto,398
